,noise,dxdt,test_mse,correlation
0,0.0,1.4584665249966344e-07,0.045148857417026136,0.897938772520885
1,0.0,0.00014752304234168752,0.05626169769744962,0.8397572547183434
2,0.0,9.680682321276947e-05,0.03824638231521217,0.90238390513502
3,0.0,1.6188007761630487e-06,0.03843788028661449,0.8956331257598386
4,0.0,3.586218664398997e-07,0.05424838384205913,0.8333486902713053
5,0.0,1.0724087294499257e-07,0.024189936577743605,0.9169503556841117
6,0.0,4.828777674485168e-05,0.04929969608765486,0.8231726050072562
7,0.0,1.415092343498051e-07,0.03667479002563022,0.9101140041895124
8,0.0,6.365661092773181e-08,0.05311265768614684,0.872231146892493
9,0.0,6.11287201599531e-08,0.025982072458171065,0.9319189844858982
10,0.0,0.00024373445212628436,0.1249851461005415,0.6901059150146442
11,0.0,3.111923289665894e-05,0.06882939234723406,0.8335005035454595
12,0.0,6.252165969350887e-05,0.07268702689111772,0.8229971964196015
13,0.0,5.522636761615061e-05,0.06499929695372937,0.843363820450121
14,0.0,3.1103479262607363e-06,0.037089643880390655,0.8969693353247136
15,0.0,3.3878789413860403e-06,0.09759339315788956,0.787276195782631
16,0.0,8.554794222256624e-05,0.03267713145070924,0.9102782311239527
17,0.0,1.4866467355824209e-07,0.022359838415328768,0.9374321499628457
18,0.0,6.048820928079622e-06,0.07977824462380004,0.788736936949407
19,0.0,2.490456656324649e-08,0.16385701732017866,0.4554341985127489
20,0.0,6.918306042478854e-05,0.1054712642897426,0.7211790891383831
21,0.0,9.194889100090353e-08,0.0308398788097064,0.9138005149914044
22,0.0,1.078828015931947e-06,0.04294117293843525,0.8862900073484266
23,0.0,2.1439368111395813e-05,0.02821950652688599,0.9385775909958107
24,0.0,7.298330051597897e-07,0.05134302895109462,0.8614513801653261
25,0.0,8.623480643191945e-08,0.03208652132714226,0.9319083272737626
26,0.0,3.734116760376229e-05,0.04020022556629782,0.9050639671446764
27,0.0,5.172654080136407e-07,0.020972086360969533,0.9370739941024772
28,0.0,7.231906274183629e-07,0.028140757549904142,0.9306050236091242
29,0.0,4.0781074022301816e-06,0.05442880735989212,0.8537852461671708
30,0.0,6.284002108824379e-07,0.054269329538321136,0.8557707944553744
31,0.0,9.752855124803032e-08,0.021581637337337128,0.9341515738156703
32,0.0,7.180076445801926e-05,0.07588509460233762,0.7468649185424661
33,0.0,8.735466086764872e-07,0.04092113116233376,0.899859173930073
34,0.0,2.670433558875623e-07,0.06224793279132586,0.850926860091544
35,0.0,6.0585199832229745e-06,0.04857864448722217,0.8655117168432804
36,0.0,3.82781486108128e-06,0.05396299912425282,0.8478801264231304
37,0.0,1.1378473708729456e-06,0.040807571170817104,0.9099570364562926
38,0.0,2.895092227454477e-06,0.052852772195658426,0.8382714992782405
39,0.0,5.361605793444863e-07,0.0426223364060927,0.8921811327837857
40,0.0,2.2681186038053e-06,0.03867739004451591,0.8814200294612773
41,0.0,1.0368209075765857e-05,0.026428874226458895,0.9331813573831245
42,0.0,1.7686547651689163e-07,0.07633884837672908,0.8024284075850143
43,0.0,2.566379886330099e-07,0.0345763902647986,0.910888811345547
44,0.0,4.4611439124512716e-07,0.03579315678114661,0.900366374836972
45,0.0,1.7052507545333903e-07,0.06082379831062359,0.8832992723144423
46,0.0,6.678072673997105e-07,0.053290777940156464,0.864066885337494
47,0.0,1.8230433943990618e-06,0.03904109105945719,0.9049447946568724
48,0.0,7.526000568545721e-06,0.06331967087326325,0.8257319430719835
49,0.0,2.401620588032308e-07,0.05090925052535067,0.8507785730677851
50,0.0,0.00029836520799080517,0.046455193679219325,0.8609829260851022
51,0.0,9.921834981734263e-05,0.07656103892356575,0.7714032643878335
52,0.0,0.5707206265903727,0.29493792004857805,0.16248600423738344
53,0.0,8.668902558955714e-08,0.04083123693599587,0.9080504688737313
54,0.0,0.00023993437377761807,0.08116150698697308,0.7529802422755937
55,0.0,2.3306581415082427e-06,0.05898380255440131,0.8264311445224435
56,0.0,5.846547666224593e-06,0.03871593108685382,0.9071741572043125
57,0.0,4.329822680184602e-05,0.060878780924450204,0.8067473163080265
58,0.0,4.565190089184605e-06,0.04633612057741052,0.8678156409422917
59,0.0,2.645637310630043e-07,0.025299724661373875,0.9248480144407641
60,0.0,3.695294670048178e-08,0.11769925968959673,0.6360409440740589
61,0.0,8.742931297979434e-08,0.02981477094137302,0.9282309668282773
62,0.0,4.682405686961091e-07,0.02700980281225518,0.9338863615046342
63,0.0,1.7668248551092954e-05,0.043030934121872234,0.9003197951300395
64,0.0,9.857473643957695e-05,0.08096890046511288,0.714072042619713
65,0.0,3.5509446041458856e-05,0.09248951748783572,0.7464977357138247
66,0.0,1.3244873765329806e-07,0.02566147971105865,0.9291584900337654
67,0.0,8.006346290364587e-08,0.03757899719422406,0.8942808719232413
68,0.0,7.727838519070504e-08,0.04936492603052643,0.8958680923874959
69,0.0,1.8905150918713672e-07,0.043936477000161185,0.8796133297140986
70,0.0,2.0119473193276615e-07,0.11607316516262615,0.6946316274092251
71,0.0,7.8299154783072e-08,0.026945169133786574,0.9176035591835275
72,0.0,9.219852458802816e-06,0.05622302393478388,0.8604602670419881
73,0.0,5.572281503301008e-08,0.03909915495901155,0.8841514899180837
74,0.0,2.0316375066058715e-07,0.05054309491526056,0.8741127983510972
75,0.0,1.830707181427731e-05,0.028235385735125174,0.9153670971341605
76,0.0,8.403933150529437e-08,0.04416532340274347,0.8667190189760157
77,0.0,9.831413926361624e-06,0.06235597643713478,0.8325441452756037
78,0.0,1.8524481043902108e-07,0.034147831415980635,0.9058787737429888
79,0.0,9.92598081937899e-06,0.041555808699237355,0.8633157733323448
80,0.0,4.283885229097663e-07,0.02821353753333834,0.9227186358137631
81,0.0,4.849043820293234e-05,0.03555317492331718,0.892445802672027
82,0.0,3.297964762748253e-05,0.03824811032093477,0.8997625997321438
