,correlation,mse,noise,label
b11_001_noise_0.05_002,0.7937513652768552,0.09398526168322902,0.05,False-False
b11_001_noise_0.05_004,0.9137482039071773,0.041528192430662914,0.05,True-True
b11_001_noise_0.05_005,0.9016141610489683,0.04944316594429237,0.05,True-True
b11_001_noise_0.05_006,0.901276831255479,0.04841393958898402,0.05,True-True
b11_001_noise_0.05_007,0.8895922280651762,0.05461638457557049,0.05,True-True
b11_001_noise_0.05_008,0.899023783570796,0.05048401841415982,0.05,True-True
b11_001_noise_0.05_009,0.8639339885556848,0.07006534712786346,0.05,False-True
b11_001_noise_0.05_010,0.8835943245166439,0.056314438563385,0.05,False-True
b11_001_noise_0.05_011,0.9158830350033629,0.041198538950457324,0.05,True-True
b11_001_noise_0.05_012,0.8659844496772295,0.06513908881548684,0.05,True-True
b11_001_noise_0.05_014,0.8774003826096362,0.06773694359709907,0.05,True-True
b11_002_noise_0.05_000,0.8939148234416457,0.041009872830973106,0.05,True-True
b11_002_noise_0.05_001,0.8563103501022847,0.05538182957678725,0.05,False-True
b11_002_noise_0.05_002,0.8529453061125608,0.05541510766997257,0.05,False-True
b11_002_noise_0.05_003,0.8721329070321057,0.04975431039266766,0.05,True-True
b11_002_noise_0.05_004,0.8795150917289873,0.04587378410266732,0.05,False-True
b11_002_noise_0.05_005,0.9023058847284396,0.03791846014375771,0.05,True-True
b11_002_noise_0.05_006,0.5152559947778823,0.16669690214576072,0.05,False-False
b11_002_noise_0.05_007,0.9061641361662838,0.03677289951416986,0.05,True-True
b11_002_noise_0.05_008,0.7846703309634419,0.08363605900717722,0.05,False-False
b11_002_noise_0.05_009,0.8917858428029768,0.04254065851375887,0.05,True-True
b11_002_noise_0.05_010,0.8687010024352513,0.05028672060518724,0.05,False-True
b11_002_noise_0.05_011,0.9124963499888545,0.0341608062778867,0.05,True-True
b11_002_noise_0.05_012,0.8671148075589268,0.05762474528805867,0.05,False-True
b11_002_noise_0.05_013,0.9136300520828128,0.03611110093855769,0.05,True-True
b11_000_noise_0.1_000,0.8220718608645469,0.07390285662600148,0.1,False-False
b11_000_noise_0.1_001,0.790468327807543,0.08662267076052695,0.1,True-False
b11_000_noise_0.1_002,0.8227292235495358,0.07231002505510292,0.1,True-False
b11_000_noise_0.1_003,0.7466970833471174,0.1447659422206632,0.1,True-False
b11_000_noise_0.1_004,0.8401280035354273,0.07039080951443241,0.1,True-False
b11_000_noise_0.1_005,0.820022705651609,0.11980820814169654,0.1,True-True
b11_000_noise_0.1_006,0.8705017319835009,0.06968385083132893,0.1,True-True
b11_000_noise_0.1_007,0.8493306359020926,0.0863469069697562,0.1,True-True
b11_000_noise_0.1_008,0.8735609917839894,0.05969077245938753,0.1,True-True
b11_000_noise_0.1_009,0.4304340533234445,0.2609464934408687,0.1,False-False
b11_000_noise_0.1_010,0.8580496301322663,0.07372176191785983,0.1,True-True
b11_000_noise_0.1_011,0.8865176340099895,0.05004249219649467,0.1,True-True
b11_000_noise_0.1_012,0.8661350413503704,0.07584752090571473,0.1,True-True
b11_000_noise_0.1_013,0.8706282747079889,0.06767872120374761,0.1,True-True
b11_000_noise_0.1_014,0.8654525291267673,0.07658575325271622,0.1,True-True
b11_001_noise_0.1_000,0.8660104439103038,0.06726079249771032,0.1,True-True
b11_001_noise_0.1_001,0.8710322719287656,0.06786668590644311,0.1,True-True
b11_001_noise_0.1_002,0.8555820744041018,0.07716298007960985,0.1,True-True
b11_001_noise_0.1_003,0.40247855832911045,0.3069672969733111,0.1,False-False
b11_001_noise_0.1_004,0.7951058988359377,0.09614610457865175,0.1,True-True
b11_001_noise_0.1_005,0.8184353049897358,0.08984692999393738,0.1,False-True
b11_001_noise_0.1_006,0.8653078346969939,0.06802206442585555,0.1,True-True
b11_001_noise_0.1_007,0.8732288653403273,0.06384775446784444,0.1,True-True
b11_001_noise_0.1_008,0.8573742904128997,0.06920565136038113,0.1,True-True
b11_001_noise_0.1_009,0.22083588624714529,0.3623295857992811,0.1,False-False
b11_001_noise_0.1_010,0.8298326193836179,0.08607379634908996,0.1,False-True
b11_001_noise_0.1_011,0.8884016207993641,0.055044463609049396,0.1,True-True
b11_001_noise_0.1_012,0.7679865520585856,0.11496679833896209,0.1,True-False
b11_001_noise_0.1_013,0.8655140717012438,0.06988838491495071,0.1,True-True
b11_001_noise_0.1_014,0.8639645558940865,0.0728356823431331,0.1,True-True
b11_002_noise_0.1_000,0.8379605264008049,0.0758752444885433,0.1,True-True
b11_002_noise_0.1_001,0.808104121724986,0.07558300981960858,0.1,True-False
b11_002_noise_0.1_002,0.8606635327416448,0.059820160996698776,0.1,True-True
b11_002_noise_0.1_003,0.8095292161753836,0.07721396488125057,0.1,False-True
b11_002_noise_0.1_004,0.8332701248621829,0.0654096221947608,0.1,True-True
b11_002_noise_0.1_005,0.8065196937513298,0.07848652942538671,0.1,True-False
b11_002_noise_0.1_006,0.4392795962063623,0.29628252415586803,0.1,False-False
b11_002_noise_0.1_007,0.8374719801619496,0.0651193071797029,0.1,False-True
b11_002_noise_0.1_008,0.8500612030118672,0.062385367668738666,0.1,False-True
b11_002_noise_0.1_009,0.8028773252618725,0.0793773712969838,0.1,True-True
b11_002_noise_0.1_010,0.8436369909605198,0.06696693746189814,0.1,False-True
b11_002_noise_0.1_011,0.3570534113792033,0.2902447810812824,0.1,True-False
b11_002_noise_0.1_012,0.40733334167716395,0.24657143172535448,0.1,True-False
b11_002_noise_0.1_013,0.8650046049373017,0.056827573340866404,0.1,True-True
b11_000_noise_0.15_000,0.79708554390882,0.10006288116418581,0.15,False-False
b11_000_noise_0.15_001,0.8218682132824398,0.09193528479739595,0.15,True-False
b11_000_noise_0.15_002,0.8175091957708389,0.09453126331872969,0.15,True-False
b11_000_noise_0.15_003,0.5931695284073215,0.2329278082379578,0.15,True-False
b11_000_noise_0.15_004,0.8117271911384087,0.08629821419668207,0.15,True-False
b11_000_noise_0.15_005,0.7697951546033796,0.10390310083596839,0.15,True-False
b11_000_noise_0.15_006,0.7242148633587077,0.14726525077589114,0.15,True-False
b11_000_noise_0.15_007,0.800705401573282,0.09019668653893581,0.15,True-False
b11_000_noise_0.15_008,0.8097892048676925,0.09688661138296809,0.15,True-False
b11_000_noise_0.15_009,0.7405416063674073,0.12158587180984383,0.15,False-False
b11_000_noise_0.15_010,0.5452744437450272,0.1687573880510578,0.15,False-False
b11_000_noise_0.15_011,0.8255221708634651,0.08153086003015193,0.15,True-False
b11_000_noise_0.15_012,0.7368903529726325,0.12790171220771313,0.15,False-False
b11_000_noise_0.15_013,0.8030566872855585,0.10062951899966883,0.15,True-False
b11_001_noise_0.15_001,0.7491109269663431,0.14140082632455478,0.15,False-False
b11_001_noise_0.15_002,0.8176218636601232,0.10819261253524544,0.15,True-True
b11_001_noise_0.15_003,0.2322435113876368,0.3423686923864595,0.15,False-False
b11_001_noise_0.15_004,0.7857287116420475,0.10443923453539866,0.15,True-False
b11_001_noise_0.15_005,0.7560757238661913,0.12334719282505507,0.15,True-False
b11_001_noise_0.15_006,0.5196025726348935,0.27806709350060077,0.15,True-False
b11_001_noise_0.15_007,0.7755341304443661,0.1129477575831058,0.15,False-False
b11_001_noise_0.15_008,0.8437607853472985,0.089188155178346,0.15,True-False
b11_001_noise_0.15_009,0.781503968295138,0.13702833359046507,0.15,True-False
b11_001_noise_0.15_010,0.5621046796507153,0.189148299329578,0.15,False-False
b11_001_noise_0.15_011,0.7718086257016127,0.13062544981339547,0.15,False-False
b11_001_noise_0.15_012,0.7171332503153084,0.14580713682613802,0.15,False-False
b11_001_noise_0.15_013,0.805194802049172,0.111712006231987,0.15,True-False
b11_001_noise_0.15_014,0.7390514393340826,0.14164275154229086,0.15,False-False
b11_002_noise_0.15_000,0.7890006875375999,0.09454018859957636,0.15,True-False
b11_002_noise_0.15_001,0.7720283772710386,0.10178507024570102,0.15,True-False
b11_002_noise_0.15_002,0.7722897224266135,0.10188281565359839,0.15,True-False
b11_002_noise_0.15_003,0.2905716663592275,0.20130375137063347,0.15,False-False
b11_002_noise_0.15_004,0.7519554282686158,0.09934021121710448,0.15,False-False
b11_002_noise_0.15_005,0.7881915866330383,0.10558203484084866,0.15,True-False
b11_002_noise_0.15_006,0.47834708499142586,0.6378112416139288,0.15,True-True
b11_002_noise_0.15_007,0.5729994557987551,0.16854064189641274,0.15,False-False
b11_002_noise_0.15_008,0.8054917173005018,0.09839687717085907,0.15,False-False
b11_002_noise_0.15_009,0.7219488579910398,0.12266770425049257,0.15,True-False
b11_002_noise_0.15_010,0.7760469449969465,0.10652065103182164,0.15,True-False
b11_002_noise_0.15_011,0.7891361537460884,0.08967559437917963,0.15,True-False
b11_002_noise_0.15_012,0.7379343185230884,0.12399217272683075,0.15,True-False
b11_002_noise_0.15_013,0.7970482632092413,0.09054899408904232,0.15,False-False
b11_002_noise_0.15_014,0.7866113341914324,0.14104834505984923,0.15,True-False
b11_000_noise_0.2_000,0.727040540141003,0.12928688590913454,0.2,False-False
b11_000_noise_0.2_001,0.6572557787430658,0.14523012554010922,0.2,False-False
b11_000_noise_0.2_002,0.6654588233051627,0.17661531149833098,0.2,False-False
b11_000_noise_0.2_003,0.6741151217485889,0.15781449358033692,0.2,True-False
b11_000_noise_0.2_004,0.6331255222184494,0.1718604115003449,0.2,False-False
b11_000_noise_0.2_006,0.7043450432633711,0.16353952899697338,0.2,True-False
b11_000_noise_0.2_007,0.6809826615923225,0.14686818717769443,0.2,False-False
b11_000_noise_0.2_008,0.7434157843754413,0.14204777488779238,0.2,True-False
b11_000_noise_0.2_009,0.6424709755577392,0.2143153814984941,0.2,False-False
b11_000_noise_0.2_010,0.5839011332138301,0.40150520264936346,0.2,True-False
b11_000_noise_0.2_011,0.7574061525401549,0.11690657700842709,0.2,False-False
b11_000_noise_0.2_012,0.6511673031462005,0.1864016386231596,0.2,False-False
b11_000_noise_0.2_013,0.7506913238507747,0.15170512368145758,0.2,True-False
b11_000_noise_0.2_014,0.586634252591474,0.4025026640315235,0.2,True-False
b11_001_noise_0.2_000,0.6078475174971616,0.23301784959108832,0.2,False-False
b11_001_noise_0.2_001,0.41767034979723544,0.28677103074701826,0.2,False-False
b11_001_noise_0.2_002,0.7293266365379081,0.16746322096793353,0.2,False-False
b11_001_noise_0.2_003,0.598949432426366,0.19870018872181208,0.2,True-False
b11_001_noise_0.2_004,0.7218816439644961,0.14128570883414746,0.2,True-False
b11_001_noise_0.2_007,0.6600529898233697,0.1673199699695557,0.2,False-False
b11_001_noise_0.2_008,0.7830667497065814,0.13512960741914073,0.2,True-False
b11_001_noise_0.2_010,0.5667427242493247,0.26319578136238153,0.2,True-False
b11_001_noise_0.2_011,0.6657124086127757,0.1737830451316826,0.2,False-False
b11_001_noise_0.2_012,0.7165316017049569,0.20178444363359688,0.2,True-False
b11_001_noise_0.2_013,0.7292355034055225,0.20265698654037467,0.2,False-False
b11_001_noise_0.2_014,0.3219437373471463,0.24305937820845983,0.2,False-False
b11_002_noise_0.2_001,0.4867794011311474,0.19114179662588163,0.2,False-False
b11_002_noise_0.2_002,0.7095304266529623,0.1474318270502756,0.2,True-False
b11_002_noise_0.2_003,0.580123028607897,0.17968586640304185,0.2,False-False
b11_002_noise_0.2_004,0.6516210916297506,0.14607188948357533,0.2,True-False
b11_002_noise_0.2_006,0.6411990982080877,0.17830345303380757,0.2,True-False
b11_002_noise_0.2_007,0.531090773622664,0.20831649315978187,0.2,False-False
b11_002_noise_0.2_008,0.6535353526274217,0.1752515846088624,0.2,True-False
b11_002_noise_0.2_009,0.6190712365024496,0.1932888695032857,0.2,False-False
b11_002_noise_0.2_010,0.6377749525557819,0.17896919402911518,0.2,False-False
b11_002_noise_0.2_011,0.6797651869426083,0.13772853305768873,0.2,False-False
b11_002_noise_0.2_012,0.6833026745490964,0.2676343557421033,0.2,False-False
b11_002_noise_0.2_013,0.6707144409512205,0.1583186307814441,0.2,True-False
b11_002_noise_0.2_014,0.6141542087370223,0.15183372564401945,0.2,False-False
b11_000_noise_0.3_000,0.4569966925236192,0.31783750193364846,0.3,True-False
b11_000_noise_0.3_001,0.5711622817049229,0.28354503096050643,0.3,True-False
b11_000_noise_0.3_002,0.36169062889196296,0.3832056878002692,0.3,True-False
b11_000_noise_0.3_003,0.36249701389520117,0.371282581427261,0.3,True-False
b11_000_noise_0.3_004,0.43663486142928065,0.34492599696053977,0.3,False-False
b11_000_noise_0.3_005,0.46748722968832457,0.2918843478290886,0.3,False-False
b11_000_noise_0.3_006,0.5143643339429887,0.2324071772275648,0.3,False-False
b11_000_noise_0.3_007,0.44978255245607296,0.3120612879746773,0.3,False-False
b11_000_noise_0.3_008,0.430208950754496,0.274959760401832,0.3,False-False
b11_000_noise_0.3_009,0.21991651222196365,1.3085548189974319,0.3,False-False
b11_000_noise_0.3_010,0.4511978356349033,0.4200039502467165,0.3,True-False
b11_000_noise_0.3_011,0.042142228777412666,0.3013331962601652,0.3,True-False
b11_000_noise_0.3_012,0.5188997521073265,0.4171338739589807,0.3,True-False
b11_000_noise_0.3_013,0.48673695240406534,0.3291485120552685,0.3,False-False
b11_001_noise_0.3_000,0.36650209451561333,0.42442920487446073,0.3,False-False
b11_001_noise_0.3_001,0.3677108548769906,0.2513711964933612,0.3,True-False
b11_001_noise_0.3_002,0.3908855767267631,0.37325530988870836,0.3,True-False
b11_001_noise_0.3_003,0.4317017518854831,0.39945427691116486,0.3,False-False
b11_001_noise_0.3_004,0.5815285247335975,0.2729592080511149,0.3,True-False
b11_001_noise_0.3_006,0.3097955811809543,0.2612314541380996,0.3,False-False
b11_001_noise_0.3_007,0.41976166910262075,0.3174791487962773,0.3,True-False
b11_001_noise_0.3_008,0.402836866530897,0.3434675456713446,0.3,True-False
b11_001_noise_0.3_010,0.38796038143681355,0.2937733279272244,0.3,False-False
b11_001_noise_0.3_011,0.5918110921164585,0.2693980964760316,0.3,True-False
b11_001_noise_0.3_012,0.4186311681427184,0.47135837042291995,0.3,True-False
b11_001_noise_0.3_013,0.5577233047080262,0.3425921548693614,0.3,False-False
b11_001_noise_0.3_014,0.3170796247822728,0.434397368559275,0.3,True-False
b11_002_noise_0.3_000,0.4706867497060324,0.34418504667537636,0.3,True-False
b11_002_noise_0.3_001,0.5336630465880327,0.38043793426514355,0.3,True-False
b11_002_noise_0.3_002,0.48318982662514826,0.31201479667398463,0.3,True-False
b11_002_noise_0.3_003,0.3211328790748131,0.4132775270843032,0.3,False-False
b11_002_noise_0.3_004,0.35220112201459036,0.2291888935187553,0.3,False-False
b11_002_noise_0.3_005,0.2464818110289596,0.27980018790404537,0.3,False-False
b11_002_noise_0.3_006,0.3254023121175657,0.47781426634687574,0.3,False-False
b11_002_noise_0.3_007,0.5563525508048174,0.26899404310179603,0.3,False-False
b11_002_noise_0.3_010,0.49140350179544384,0.3165578135911002,0.3,True-False
b11_002_noise_0.3_012,0.46067183858354777,0.38252683786130864,0.3,True-False
b11_002_noise_0.3_013,0.5378857552054797,0.3268318741223377,0.3,False-False
b11_002_noise_0.3_014,0.28659678113495857,0.3572113348991357,0.3,False-False
b11_000_noise_0.5_000,0.3258807013085477,0.7663659481192593,0.5,True-False
b11_000_noise_0.5_001,0.34099461680936216,0.557849456589564,0.5,True-False
b11_000_noise_0.5_002,0.17918530319254894,0.6008130468013134,0.5,False-False
