,valid_loss_mean,valid_loss_sd,valid_mse_mean,valid_mse_sd,test_mse_mean,test_mse_sd,total_count,filtered_count
WhiteNoise_Jun17_0_1,0.05993962737633601,0.025551594254215913,0.05147181146189963,0.026205977083497114,0.050519141368567944,0.02446532696985632,156.0,152.0
WhiteNoise_Jun17_1_a,0.06651107513027478,0.029060331000184667,0.05799916882916719,0.029362302816068817,0.058483862046954,0.02741932223121572,162.0,158.0
WhiteNoise_Jun17_2_0,0.07279838969797091,0.025039883727598865,0.06394235238286794,0.025558073639357498,0.06504485687983581,0.025625226812104548,158.0,153.0
WhiteNoise_Jun17_3_0,0.10669803978284685,0.02881902442945547,0.09767148691433959,0.030003071199821218,0.098302173496383,0.027586978740887735,167.0,164.0
WhiteNoise_Jun17_4_5,0.34459183012792305,0.030565771680077368,0.3338740461094435,0.03132825543223999,0.3315282087455424,0.024105470524153256,132.0,129.0
WhiteNoise_Jun17_5_c,1.1522756399292695,0.06279876010403074,1.138127232852735,0.062047351855305494,1.1369821280241013,0.041179543750472905,155.0,152.0
WhiteNoise_Jun17_6_e,4.313980438770392,0.26198304101476944,4.288454158183856,0.2371107975140534,4.286841423083574,0.15869056183453606,170.0,156.0
WhiteNoise_Jun17_7_a,9.593069525326,0.5145753315980325,9.552294941509471,0.48761132510294464,9.567566927741556,0.3366646877428416,168.0,136.0
WhiteNoise_Jun17_8_8,26.19814662138621,1.482338044545116,26.100872317949932,1.480075385123836,26.134010632832844,0.8302066156953047,167.0,96.0
