,edge,strength,tval,abstval,pval,logpval,fdr,bfr,distance,inv_dist,include,interaction,cocitation,string,genemania,npath,coexpression,experimental,database,textmining
3430,STAT6pY641_STAT3,0.0032121045836619,1.2160779224483897,1.2160779224483897,0.22424250386387304,0.649282065942595,0.326629102963582,1.0,0.0,1.0,0.0,1,6,0,0.00059,1,0,0,0,0
3431,TAZpS89_STAT3,-0.00126953425962535,-0.43195560196430294,0.43195560196430294,0.665866894175263,0.17661257698973998,0.7588176923798909,1.0,2.0,2.0,1.0,0,0,0,0.0,35,0,0,0,0
3432,XRCC1_STAT3,-0.00203531796974305,-0.8101461010804799,0.8101461010804799,0.418049146516303,0.378772658880072,0.5357108820610771,1.0,1.0,2.0,1.0,0,0,0,0.0,11,0,0,0,0
3433,PCNA_STAT3,-0.00284940582263077,-0.983222023657635,0.983222023657635,0.325736234567887,0.48713392827086405,0.440231480152631,1.0,2.0,0.0,2.0,0,0,0,0.0,84,0,0,0,0
3434,PDK1pS241_STAT3,0.009659784405561691,2.60023539710148,2.60023539710148,0.00945351501970835,2.02440668145632,0.0191067521877204,1.0,1.0,1.0,1.0,0,0,0,0.0,3,0,0,0,0
3435,PI3Kp85_STAT3,-0.0012117478283679801,-0.934486759222732,0.934486759222732,0.350278679716621,0.45558629592013,0.466187391553952,1.0,0.0,0.0,0.0,1,1,0,0.00011999999999999999,2,0,0,0,0
3436,PKCa_STAT3,0.00349522533236336,2.11427554998066,2.11427554998066,0.0347389870426443,1.4591828493375,0.0641900436593906,1.0,0.0,0.0,0.0,1,1,0,4.9e-05,3,0,0,0,0
3437,RAD51_STAT3,0.00166320050742735,0.638569118400741,0.638569118400741,0.523249639222076,0.28129106243297497,0.6375790903394389,1.0,2.0,1.0,1.0,0,0,0,0.0,86,0,0,0,0
3438,SRCpY416_STAT3,-0.00020528788943824199,-0.213609345412435,0.213609345412435,0.8308952971189649,0.0804536991380996,0.884089009199259,1.0,0.0,1.0,0.0,1,28,0,0.00021,3,0,0,0,0
3439,4EBP1pT70_STAT3,0.000288242162894958,0.15768573622924403,0.15768573622924403,0.8747363060718101,0.0581228476378536,0.913841383541805,1.0,-2.0,1.0,,0,0,537,0.0,0,61,0,0,528
3440,ACCpS79_STAT3,-0.0044375604050235,-1.59339785608275,1.59339785608275,0.11138728900918302,0.953164365967816,0.18123268971002,1.0,-2.0,1.0,,0,0,0,0.0,0,0,0,0,0
